"Instance Type",vendor,LeaseContractLength,Location,"monthly_cost",OfferingClass,PriceDescription,PricePerUnit,serviceName,Tenancy,TermType
"m5ad.2xlarge",AWS,1yr,"Canada (Central)","247.4700000",convertible,"Linux/UNIX (Amazon VPC), m5ad.2xlarge reserved instance applied","0.3390000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.16xlarge",AWS,1yr,"EU (Paris)","1906.0300000",convertible,"Linux/UNIX (Amazon VPC), m5a.16xlarge reserved instance applied","2.6110000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.12xlarge",AWS,1yr,"AWS GovCloud (US)","1980.4900000",convertible,"Linux/UNIX (Amazon VPC), m5d.12xlarge reserved instance applied","2.7130000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.16xlarge",AWS,1yr,"Asia Pacific (Singapore)","1878.2900000",convertible,"Linux/UNIX (Amazon VPC), m5a.16xlarge reserved instance applied","2.5730000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.large",AWS,1yr,"Canada (Central)","67.8900000",convertible,"Linux/UNIX (Amazon VPC), m5d.large reserved instance applied","0.0930000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.16xlarge",AWS,1yr,"Asia Pacific (Tokyo)","2319.9400000",convertible,"Linux/UNIX (Amazon VPC), m5.16xlarge reserved instance applied","3.1780000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.24xlarge",AWS,1yr,"US East (Ohio)","2471.0500000",convertible,"Linux/UNIX (Amazon VPC), m5.24xlarge reserved instance applied","3.3850000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.large",AWS,1yr,"Asia Pacific (Sydney)","62.7800000",convertible,"Linux/UNIX (Amazon VPC), m5a.large reserved instance applied","0.0860000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.8xlarge",AWS,1yr,"US East (Ohio)","823.44000000",convertible,"Linux/UNIX (Amazon VPC), m5.8xlarge reserved instance applied","1.1280000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5ad.24xlarge",AWS,1yr,"Asia Pacific (Sydney)","3603.2800000",convertible,"Linux/UNIX (Amazon VPC), m5ad.24xlarge reserved instance applied","4.9360000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.16xlarge",AWS,1yr,"Asia Pacific (Seoul)","2328.7000000",convertible,"Linux/UNIX (Amazon VPC), m5d.16xlarge reserved instance applied","3.1900000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.12xlarge",AWS,1yr,"EU (Frankfurt)","1947.6400000",convertible,"Linux/UNIX (Amazon VPC), m5d.12xlarge reserved instance applied","2.6680000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.8xlarge",AWS,1yr,"US West (N. California)","1324.9500000",convertible,"Linux/UNIX (Amazon VPC), m5d.8xlarge reserved instance applied","1.8150000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.8xlarge",AWS,1yr,"EU (Paris)","1056.3100000",convertible,"Linux/UNIX (Amazon VPC), m5.8xlarge reserved instance applied","1.4470000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5ad.12xlarge",AWS,1yr,"Asia Pacific (Singapore)","1677.5400000",convertible,"Linux/UNIX (Amazon VPC), m5ad.12xlarge reserved instance applied","2.2980000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.metal",AWS,1yr,"Asia Pacific (Mumbai)","3160.9000000",convertible,"Linux/UNIX (Amazon VPC), m5d.metal reserved instance applied","4.3300000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.4xlarge",AWS,1yr,"AWS GovCloud (US-East)","558.4500000",convertible,"Linux/UNIX (Amazon VPC), m5.4xlarge reserved instance applied","0.7650000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.24xlarge",AWS,1yr,"Asia Pacific (Sydney)","3933.9700000",convertible,"Linux/UNIX (Amazon VPC), m5d.24xlarge reserved instance applied","5.3890000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.metal",AWS,1yr,"US West (N. California)","3382.8200000",convertible,"Linux/UNIX (Amazon VPC), m5.metal reserved instance applied","4.6340000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.metal",AWS,1yr,"Canada (Central)","2733.8500000",convertible,"Linux/UNIX (Amazon VPC), m5.metal reserved instance applied","3.7450000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.16xlarge",AWS,1yr,"US West (N. California)","2649.9000000",convertible,"Linux/UNIX (Amazon VPC), m5d.16xlarge reserved instance applied","3.6300000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.4xlarge",AWS,1yr,"EU (Ireland)","454.7900000",convertible,"Linux/UNIX (Amazon VPC), m5a.4xlarge reserved instance applied","0.6230000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.2xlarge",AWS,1yr,"AWS GovCloud (US-East)","329.9600000",convertible,"Linux/UNIX (Amazon VPC), m5d.2xlarge reserved instance applied","0.4520000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.16xlarge",AWS,1yr,"US West (Oregon)","1470.2200000",convertible,"Linux/UNIX (Amazon VPC), m5a.16xlarge reserved instance applied","2.0140000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.16xlarge",AWS,1yr,"AWS GovCloud (US)","2010.4200000",convertible,"Linux/UNIX (Amazon VPC), m5a.16xlarge reserved instance applied","2.7540000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.24xlarge",AWS,1yr,"US East (N. Virginia)","2471.0500000",convertible,"Linux/UNIX (Amazon VPC), m5.24xlarge reserved instance applied","3.3850000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5ad.large",AWS,1yr,"US East (N. Virginia)","55.4800000",convertible,"Linux/UNIX (Amazon VPC), m5ad.large reserved instance applied","0.0760000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.8xlarge",AWS,1yr,"Asia Pacific (Hong Kong)","1148.2900000",convertible,"Linux/UNIX (Amazon VPC), m5.8xlarge reserved instance applied","1.5730000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.2xlarge",AWS,1yr,"Asia Pacific (Sydney)","279.5900000",convertible,"Linux/UNIX (Amazon VPC), m5.2xlarge reserved instance applied","0.3830000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.metal",AWS,1yr,"EU (Frankfurt)","3894.5500000",convertible,"Linux/UNIX (Amazon VPC), m5d.metal reserved instance applied","5.3350000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.16xlarge",AWS,1yr,"Asia Pacific (Singapore)","2448.4200000",convertible,"Linux/UNIX (Amazon VPC), m5d.16xlarge reserved instance applied","3.3540000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.xlarge",AWS,1yr,"EU (Frankfurt)","124.1000000",convertible,"Linux/UNIX (Amazon VPC), m5a.xlarge reserved instance applied","0.1700000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.large",AWS,1yr,"EU (Frankfurt)","68.6200000",convertible,"Linux/UNIX (Amazon VPC), m5.large reserved instance applied","0.0940000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.metal",AWS,1yr,"Asia Pacific (Mumbai)","2614.8600000",convertible,"Linux/UNIX (Amazon VPC), m5.metal reserved instance applied","3.5820000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.metal",AWS,1yr,"AWS GovCloud (US-East)","3960.2500000",convertible,"Linux/UNIX (Amazon VPC), m5d.metal reserved instance applied","5.4250000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.xlarge",AWS,1yr,"EU (Frankfurt)","162.0600000",convertible,"Linux/UNIX (Amazon VPC), m5d.xlarge reserved instance applied","0.2220000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.16xlarge",AWS,1yr,"AWS GovCloud (US)","2234.5300000",convertible,"Linux/UNIX (Amazon VPC), m5.16xlarge reserved instance applied","3.0610000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.xlarge",AWS,1yr,"US East (N. Virginia)","120.4500000",convertible,"Linux/UNIX (Amazon VPC), m5d.xlarge reserved instance applied","0.1650000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.metal",AWS,1yr,"Asia Pacific (Tokyo)","4098.2200000",convertible,"Linux/UNIX (Amazon VPC), m5d.metal reserved instance applied","5.6140000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.24xlarge",AWS,1yr,"AWS GovCloud (US)","3352.1600000",convertible,"Linux/UNIX (Amazon VPC), m5.24xlarge reserved instance applied","4.5920000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.16xlarge",AWS,1yr,"EU (Ireland)","1817.7000000",convertible,"Linux/UNIX (Amazon VPC), m5a.16xlarge reserved instance applied","2.4900000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.16xlarge",AWS,1yr,"US West (Oregon)","1933.0400000",convertible,"Linux/UNIX (Amazon VPC), m5d.16xlarge reserved instance applied","2.6480000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.8xlarge",AWS,1yr,"Asia Pacific (Tokyo)","1365.8300000",convertible,"Linux/UNIX (Amazon VPC), m5d.8xlarge reserved instance applied","1.8710000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5ad.large",AWS,1yr,"AWS GovCloud (US)","75.19000000",convertible,"Linux/UNIX (Amazon VPC), m5ad.large reserved instance applied","0.1030000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.2xlarge",AWS,1yr,"Asia Pacific (Tokyo)","341.6400000",convertible,"Linux/UNIX (Amazon VPC), m5d.2xlarge reserved instance applied","0.4680000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.24xlarge",AWS,1yr,"EU (Frankfurt)","2984.2400000",convertible,"Linux/UNIX (Amazon VPC), m5a.24xlarge reserved instance applied","4.0880000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.4xlarge",AWS,1yr,"Asia Pacific (Mumbai)","527.0600000",convertible,"Linux/UNIX (Amazon VPC), m5d.4xlarge reserved instance applied","0.7220000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.2xlarge",AWS,1yr,"Asia Pacific (Singapore)","260.6100000",convertible,"Linux/UNIX (Amazon VPC), m5.2xlarge reserved instance applied","0.3570000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.2xlarge",AWS,1yr,"EU (Ireland)","297.8400000",convertible,"Linux/UNIX (Amazon VPC), m5d.2xlarge reserved instance applied","0.4080000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.xlarge",AWS,1yr,"EU (London)","154.0300000",convertible,"Linux/UNIX (Amazon VPC), m5d.xlarge reserved instance applied","0.2110000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.metal",AWS,1yr,"AWS GovCloud (US)","3960.2500000",convertible,"Linux/UNIX (Amazon VPC), m5d.metal reserved instance applied","5.4250000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.2xlarge",AWS,1yr,"US West (Oregon)","205.8600000",convertible,"Linux/UNIX (Amazon VPC), m5.2xlarge reserved instance applied","0.2820000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.24xlarge",AWS,1yr,"Asia Pacific (Seoul)","2961.6100000",convertible,"Linux/UNIX (Amazon VPC), m5.24xlarge reserved instance applied","4.0570000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.xlarge",AWS,1yr,"Asia Pacific (Hong Kong)","143.8100000",convertible,"Linux/UNIX (Amazon VPC), m5.xlarge reserved instance applied","0.1970000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.24xlarge",AWS,1yr,"Middle East (Bahrain)","3927.4000000",convertible,"Linux/UNIX (Amazon VPC), m5d.24xlarge reserved instance applied","5.3800000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.large",AWS,1yr,"EU (London)","76.65000000",convertible,"Linux/UNIX (Amazon VPC), m5d.large reserved instance applied","0.1050000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.xlarge",AWS,1yr,"US West (Oregon)","120.4500000",convertible,"Linux/UNIX (Amazon VPC), m5d.xlarge reserved instance applied","0.1650000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.large",AWS,1yr,"Asia Pacific (Singapore)","58.4000000",convertible,"Linux/UNIX (Amazon VPC), m5a.large reserved instance applied","0.0800000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.large",AWS,1yr,"US East (N. Virginia)","51.8300000",convertible,"Linux/UNIX (Amazon VPC), m5.large reserved instance applied","0.0710000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.12xlarge",AWS,1yr,"Asia Pacific (Mumbai)","1307.4300000",convertible,"Linux/UNIX (Amazon VPC), m5.12xlarge reserved instance applied","1.7910000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5ad.12xlarge",AWS,1yr,"US East (N. Virginia)","1326.4100000",convertible,"Linux/UNIX (Amazon VPC), m5ad.12xlarge reserved instance applied","1.8170000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.4xlarge",AWS,1yr,"US West (Oregon)","411.7200000",convertible,"Linux/UNIX (Amazon VPC), m5.4xlarge reserved instance applied","0.5640000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.xlarge",AWS,1yr,"EU (Paris)","132.1300000",convertible,"Linux/UNIX (Amazon VPC), m5.xlarge reserved instance applied","0.1810000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.4xlarge",AWS,1yr,"Asia Pacific (Sydney)","502.2400000",convertible,"Linux/UNIX (Amazon VPC), m5a.4xlarge reserved instance applied","0.6880000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.2xlarge",AWS,1yr,"Asia Pacific (Mumbai)","218.2700000",convertible,"Linux/UNIX (Amazon VPC), m5.2xlarge reserved instance applied","0.2990000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.2xlarge",AWS,1yr,"EU (London)","260.6100000",convertible,"Linux/UNIX (Amazon VPC), m5.2xlarge reserved instance applied","0.3570000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.metal",AWS,1yr,"Middle East (Bahrain)","3927.4000000",convertible,"Linux/UNIX (Amazon VPC), m5d.metal reserved instance applied","5.3800000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.xlarge",AWS,1yr,"EU (Paris)","155.4900000",convertible,"Linux/UNIX (Amazon VPC), m5d.xlarge reserved instance applied","0.2130000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.24xlarge",AWS,1yr,"Asia Pacific (Mumbai)","2614.8600000",convertible,"Linux/UNIX (Amazon VPC), m5.24xlarge reserved instance applied","3.5820000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.16xlarge",AWS,1yr,"US West (Oregon)","1647.6100000",convertible,"Linux/UNIX (Amazon VPC), m5.16xlarge reserved instance applied","2.2570000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.16xlarge",AWS,1yr,"EU (London)","2460.1000000",convertible,"Linux/UNIX (Amazon VPC), m5d.16xlarge reserved instance applied","3.3700000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.16xlarge",AWS,1yr,"EU (Frankfurt)","2596.6100000",convertible,"Linux/UNIX (Amazon VPC), m5d.16xlarge reserved instance applied","3.5570000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.8xlarge",AWS,1yr,"Asia Pacific (Singapore)","1224.2100000",convertible,"Linux/UNIX (Amazon VPC), m5d.8xlarge reserved instance applied","1.6770000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5ad.12xlarge",AWS,1yr,"US West (Oregon)","1326.4100000",convertible,"Linux/UNIX (Amazon VPC), m5ad.12xlarge reserved instance applied","1.8170000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.24xlarge",AWS,1yr,"US East (Ohio)","2205.3300000",convertible,"Linux/UNIX (Amazon VPC), m5a.24xlarge reserved instance applied","3.0210000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.xlarge",AWS,1yr,"Canada (Central)","102.2000000",convertible,"Linux/UNIX (Amazon VPC), m5a.xlarge reserved instance applied","0.1400000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.large",AWS,1yr,"US West (N. California)","70.8100000",convertible,"Linux/UNIX (Amazon VPC), m5.large reserved instance applied","0.0970000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.12xlarge",AWS,1yr,"US West (Oregon)","1103.0300000",convertible,"Linux/UNIX (Amazon VPC), m5a.12xlarge reserved instance applied","1.5110000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5ad.4xlarge",AWS,1yr,"US East (N. Virginia)","442.3800000",convertible,"Linux/UNIX (Amazon VPC), m5ad.4xlarge reserved instance applied","0.6060000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.metal",AWS,1yr,"US East (Ohio)","2471.0500000",convertible,"Linux/UNIX (Amazon VPC), m5.metal reserved instance applied","3.3850000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.2xlarge",AWS,1yr,"US West (N. California)","254.0400000",convertible,"Linux/UNIX (Amazon VPC), m5a.2xlarge reserved instance applied","0.3480000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.16xlarge",AWS,1yr,"Canada (Central)","1640.3100000",convertible,"Linux/UNIX (Amazon VPC), m5a.16xlarge reserved instance applied","2.2470000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.12xlarge",AWS,1yr,"AWS GovCloud (US-East)","1980.4900000",convertible,"Linux/UNIX (Amazon VPC), m5d.12xlarge reserved instance applied","2.7130000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.4xlarge",AWS,1yr,"US West (Oregon)","483.2600000",convertible,"Linux/UNIX (Amazon VPC), m5d.4xlarge reserved instance applied","0.6620000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.large",AWS,1yr,"US West (Oregon)","51.8300000",convertible,"Linux/UNIX (Amazon VPC), m5.large reserved instance applied","0.0710000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.12xlarge",AWS,1yr,"Asia Pacific (Singapore)","1835.9500000",convertible,"Linux/UNIX (Amazon VPC), m5d.12xlarge reserved instance applied","2.5150000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.8xlarge",AWS,1yr,"Middle East (Bahrain)","1110.3300000",convertible,"Linux/UNIX (Amazon VPC), m5.8xlarge reserved instance applied","1.5210000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.24xlarge",AWS,1yr,"AWS GovCloud (US)","3960.2500000",convertible,"Linux/UNIX (Amazon VPC), m5d.24xlarge reserved instance applied","5.4250000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.2xlarge",AWS,1yr,"Asia Pacific (Mumbai)","263.5300000",convertible,"Linux/UNIX (Amazon VPC), m5d.2xlarge reserved instance applied","0.3610000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.2xlarge",AWS,1yr,"EU (Paris)","264.2600000",convertible,"Linux/UNIX (Amazon VPC), m5.2xlarge reserved instance applied","0.3620000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5ad.12xlarge",AWS,1yr,"Canada (Central)","1486.2800000",convertible,"Linux/UNIX (Amazon VPC), m5ad.12xlarge reserved instance applied","2.0360000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.xlarge",AWS,1yr,"Canada (Central)","135.7800000",convertible,"Linux/UNIX (Amazon VPC), m5d.xlarge reserved instance applied","0.1860000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.large",AWS,1yr,"EU (Paris)","77.38000000",convertible,"Linux/UNIX (Amazon VPC), m5d.large reserved instance applied","0.1060000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.4xlarge",AWS,1yr,"EU (Stockholm)","481.0700000",convertible,"Linux/UNIX (Amazon VPC), m5.4xlarge reserved instance applied","0.6590000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5ad.large",AWS,1yr,"Asia Pacific (Sydney)","75.19000000",convertible,"Linux/UNIX (Amazon VPC), m5ad.large reserved instance applied","0.1030000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.8xlarge",AWS,1yr,"EU (Frankfurt)","994.99000000",convertible,"Linux/UNIX (Amazon VPC), m5a.8xlarge reserved instance applied","1.3630000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.8xlarge",AWS,1yr,"EU (Stockholm)","962.14000000",convertible,"Linux/UNIX (Amazon VPC), m5.8xlarge reserved instance applied","1.3180000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.24xlarge",AWS,1yr,"Canada (Central)","2733.8500000",convertible,"Linux/UNIX (Amazon VPC), m5.24xlarge reserved instance applied","3.7450000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.16xlarge",AWS,1yr,"US East (Ohio)","1470.2200000",convertible,"Linux/UNIX (Amazon VPC), m5a.16xlarge reserved instance applied","2.0140000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.large",AWS,1yr,"Middle East (Bahrain)","69.3500000",convertible,"Linux/UNIX (Amazon VPC), m5.large reserved instance applied","0.0950000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.12xlarge",AWS,1yr,"AWS GovCloud (US-East)","1676.0800000",convertible,"Linux/UNIX (Amazon VPC), m5.12xlarge reserved instance applied","2.2960000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.16xlarge",AWS,1yr,"EU (Frankfurt)","2200.2200000",convertible,"Linux/UNIX (Amazon VPC), m5.16xlarge reserved instance applied","3.0140000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.8xlarge",AWS,1yr,"EU (Paris)","953.38000000",convertible,"Linux/UNIX (Amazon VPC), m5a.8xlarge reserved instance applied","1.3060000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.metal",AWS,1yr,"US West (Oregon)","2899.5600000",convertible,"Linux/UNIX (Amazon VPC), m5d.metal reserved instance applied","3.9720000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.4xlarge",AWS,1yr,"EU (Ireland)","594.9500000",convertible,"Linux/UNIX (Amazon VPC), m5d.4xlarge reserved instance applied","0.8150000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.24xlarge",AWS,1yr,"US West (N. California)","3382.8200000",convertible,"Linux/UNIX (Amazon VPC), m5.24xlarge reserved instance applied","4.6340000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.xlarge",AWS,1yr,"US East (Ohio)","91.98000000",convertible,"Linux/UNIX (Amazon VPC), m5a.xlarge reserved instance applied","0.1260000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.8xlarge",AWS,1yr,"AWS GovCloud (US)","1117.6300000",convertible,"Linux/UNIX (Amazon VPC), m5.8xlarge reserved instance applied","1.5310000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.large",AWS,1yr,"Asia Pacific (Seoul)","73.00000000",convertible,"Linux/UNIX (Amazon VPC), m5d.large reserved instance applied","0.1000000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.2xlarge",AWS,1yr,"US East (N. Virginia)","241.6300000",convertible,"Linux/UNIX (Amazon VPC), m5d.2xlarge reserved instance applied","0.3310000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.12xlarge",AWS,1yr,"EU (London)","1845.4400000",convertible,"Linux/UNIX (Amazon VPC), m5d.12xlarge reserved instance applied","2.5280000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.xlarge",AWS,1yr,"US West (N. California)","140.8900000",convertible,"Linux/UNIX (Amazon VPC), m5.xlarge reserved instance applied","0.1930000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5ad.xlarge",AWS,1yr,"US West (Oregon)","110.2300000",convertible,"Linux/UNIX (Amazon VPC), m5ad.xlarge reserved instance applied","0.1510000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.16xlarge",AWS,1yr,"Asia Pacific (Singapore)","2087.0700000",convertible,"Linux/UNIX (Amazon VPC), m5.16xlarge reserved instance applied","2.8590000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.12xlarge",AWS,1yr,"AWS GovCloud (US)","1507.4500000",convertible,"Linux/UNIX (Amazon VPC), m5a.12xlarge reserved instance applied","2.0650000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.24xlarge",AWS,1yr,"EU (Frankfurt)","3894.5500000",convertible,"Linux/UNIX (Amazon VPC), m5d.24xlarge reserved instance applied","5.3350000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.xlarge",AWS,1yr,"EU (London)","130.6700000",convertible,"Linux/UNIX (Amazon VPC), m5.xlarge reserved instance applied","0.1790000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5ad.12xlarge",AWS,1yr,"US East (Ohio)","1326.4100000",convertible,"Linux/UNIX (Amazon VPC), m5ad.12xlarge reserved instance applied","1.8170000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5ad.xlarge",AWS,1yr,"US East (N. Virginia)","110.2300000",convertible,"Linux/UNIX (Amazon VPC), m5ad.xlarge reserved instance applied","0.1510000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.8xlarge",AWS,1yr,"Asia Pacific (Sydney)","1003.7500000",convertible,"Linux/UNIX (Amazon VPC), m5a.8xlarge reserved instance applied","1.3750000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.24xlarge",AWS,1yr,"Asia Pacific (Sydney)","3011.9800000",convertible,"Linux/UNIX (Amazon VPC), m5a.24xlarge reserved instance applied","4.1260000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.4xlarge",AWS,1yr,"EU (Stockholm)","566.4800000",convertible,"Linux/UNIX (Amazon VPC), m5d.4xlarge reserved instance applied","0.7760000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5ad.xlarge",AWS,1yr,"US East (Ohio)","110.2300000",convertible,"Linux/UNIX (Amazon VPC), m5ad.xlarge reserved instance applied","0.1510000000","Amazon Elastic Compute Cloud",Shared,Reserved
